sigma_field,match_type,ecs_field,notes
Message,exact,message,Official ECS field
Action,partial,event.action,"Similar name, verify manually"
action,partial,event.action,"Similar name, verify manually"
Address,partial,"client.address, destination.address, email.bcc.address","Similar name, verify manually"
answers,partial,dns.answers,"Similar name, verify manually"
Application,partial,network.application,"Similar name, verify manually"
AppName,partial,log.syslog.appname,"Similar name, verify manually"
Category,partial,"event.category, rule.category, vulnerability.category","Similar name, verify manually"
category,partial,"event.category, rule.category, vulnerability.category","Similar name, verify manually"
cipher,partial,tls.cipher,"Similar name, verify manually"
CommandLine,partial,"process.command_line, process.entry_leader.command_line, process.group_leader.command_line","Similar name, verify manually"
Company,partial,"dll.pe.company, file.pe.company, process.parent.pe.company","Similar name, verify manually"
Count,partial,gen_ai.request.choice.count,"Similar name, verify manually"
Data,partial,"dns.answers.data, file.elf.header.data, process.elf.header.data","Similar name, verify manually"
Description,partial,"dll.pe.description, file.pe.description, gen_ai.agent.description","Similar name, verify manually"
Device,partial,"file.device, threat.enrichments.indicator.file.device, threat.indicator.file.device","Similar name, verify manually"
DeviceName,partial,volume.device_name,"Similar name, verify manually"
DistinguishedName,partial,"file.x509.issuer.distinguished_name, file.x509.subject.distinguished_name, threat.enrichments.indicator.file.x509.issuer.distinguished_name","Similar name, verify manually"
FileVersion,partial,"dll.pe.file_version, file.pe.file_version, process.parent.pe.file_version","Similar name, verify manually"
Hash,partial,"client.user.hash, destination.user.hash, event.hash","Similar name, verify manually"
key,partial,"registry.key, threat.enrichments.indicator.registry.key, threat.indicator.registry.key","Similar name, verify manually"
Level,partial,log.level,"Similar name, verify manually"
Location,partial,"client.geo.location, destination.geo.location, host.geo.location","Similar name, verify manually"
method,partial,http.request.method,"Similar name, verify manually"
Name,partial,"agent.name, client.as.organization.name, client.geo.name","Similar name, verify manually"
name,partial,"agent.name, client.as.organization.name, client.geo.name","Similar name, verify manually"
OriginalFileName,partial,"dll.pe.original_file_name, file.pe.original_file_name, process.parent.pe.original_file_name","Similar name, verify manually"
Path,partial,"dll.path, file.path, log.file.path","Similar name, verify manually"
path,partial,"dll.path, file.path, log.file.path","Similar name, verify manually"
Product,partial,"dll.pe.product, file.pe.product, observer.product","Similar name, verify manually"
Protocol,partial,network.protocol,"Similar name, verify manually"
Provider,partial,"cloud.origin.provider, cloud.provider, cloud.target.provider","Similar name, verify manually"
Query,partial,"threat.enrichments.indicator.url.query, threat.indicator.url.query, url.query","Similar name, verify manually"
query,partial,"threat.enrichments.indicator.url.query, threat.indicator.url.query, url.query","Similar name, verify manually"
Reason,partial,event.reason,"Similar name, verify manually"
reason,partial,event.reason,"Similar name, verify manually"
ServerName,partial,tls.client.server_name,"Similar name, verify manually"
State,partial,"service.origin.state, service.state, service.target.state","Similar name, verify manually"
Status,partial,"dll.code_signature.status, file.code_signature.status, process.code_signature.status","Similar name, verify manually"
status,partial,"dll.code_signature.status, file.code_signature.status, process.code_signature.status","Similar name, verify manually"
subjectName,partial,"dll.code_signature.subject_name, file.code_signature.subject_name, process.code_signature.subject_name","Similar name, verify manually"
Type,partial,"agent.type, cloud.entity.type, cloud.machine.type","Similar name, verify manually"
type,partial,"agent.type, cloud.entity.type, cloud.machine.type","Similar name, verify manually"
User,partial,related.user,"Similar name, verify manually"
UserName,partial,"threat.enrichments.indicator.url.username, threat.indicator.url.username, url.username","Similar name, verify manually"
Username,partial,"threat.enrichments.indicator.url.username, threat.indicator.url.username, url.username","Similar name, verify manually"
Value,partial,"registry.value, threat.enrichments.indicator.registry.value, threat.indicator.registry.value","Similar name, verify manually"
a0,none,,No official ECS equivalent found
a1,none,,No official ECS equivalent found
a2,none,,No official ECS equivalent found
a3,none,,No official ECS equivalent found
a4,none,,No official ECS equivalent found
a5,none,,No official ECS equivalent found
a6,none,,No official ECS equivalent found
a7,none,,No official ECS equivalent found
AccessList,none,,No official ECS equivalent found
AccessMask,none,,No official ECS equivalent found
AccountName,none,,No official ECS equivalent found
ActivityDetails,none,,No official ECS equivalent found
ActivityDisplayName,none,,No official ECS equivalent found
ActivityType,none,,No official ECS equivalent found
activityType,none,,No official ECS equivalent found
actor.alternateid,none,,No official ECS equivalent found
additionalDetails.additionalInfo,none,,No official ECS equivalent found
additionalEventData.MFAUsed,none,,No official ECS equivalent found
AdditionalInfo,none,,No official ECS equivalent found
AllowedToDelegateTo,none,,No official ECS equivalent found
answer,none,,No official ECS equivalent found
apiGroup,none,,No official ECS equivalent found
AppID,none,,No official ECS equivalent found
AppId,none,,No official ECS equivalent found
ApplicationId,none,,No official ECS equivalent found
