field,rule_path
,application/jvm/java_local_file_read.yml
,linux/auditd/execve/lnx_auditd_binary_padding.yml
,linux/auditd/execve/lnx_auditd_find_cred_in_files.yml
,linux/builtin/lnx_susp_jexboss.yml
,network/cisco/bgp/cisco_bgp_md5_auth_failed.yml
,network/huawei/bgp/huawei_bgp_auth_failed.yml
,network/juniper/bgp/juniper_bgp_missing_md5.yml
,windows/builtin/msexchange/win_exchange_proxylogon_oabvirtualdir.yml
,windows/builtin/msexchange/win_exchange_proxyshell_certificate_generation.yml
,windows/builtin/msexchange/win_exchange_proxyshell_mailbox_export.yml
,windows/builtin/msexchange/win_exchange_proxyshell_remove_mailbox_export.yml
,windows/builtin/msexchange/win_exchange_set_oabvirtualdirectory_externalurl.yml
AccessList,windows/builtin/security/win_security_atsvc_task.yml
AccessList,windows/builtin/security/win_security_gpo_scheduledtasks.yml
AccessList,windows/builtin/security/win_security_net_share_obj_susp_desktop_ini.yml
AccessList,windows/builtin/security/win_security_password_policy_enumerated.yml
AccessList,windows/builtin/security/win_security_registry_permissions_weakness_check.yml
AccessList,windows/builtin/security/win_security_susp_group_policy_startup_script_added_to_gpo.yml
AccessList,windows/builtin/security/win_security_susp_lsass_dump_generic.yml
AccessList,windows/builtin/security/win_security_svcctl_remote_service.yml
AccessList,windows/builtin/security/win_security_windows_defender_exclusions_write_access.yml
AccessMask,windows/builtin/security/win_security_ad_object_writedac_access.yml
AccessMask,windows/builtin/security/win_security_ad_replication_non_machine_account.yml
AccessMask,windows/builtin/security/win_security_ad_user_enumeration.yml
AccessMask,windows/builtin/security/win_security_dcsync.yml
AccessMask,windows/builtin/security/win_security_dpapi_domain_backupkey_extraction.yml
AccessMask,windows/builtin/security/win_security_lsass_access_non_system_account.yml
AccessMask,windows/builtin/security/win_security_scm_database_handle_failure.yml
AccessMask,windows/builtin/security/win_security_smb_file_creation_admin_shares.yml
AccessMask,windows/builtin/security/win_security_susp_lsass_dump.yml
AccessMask,windows/builtin/security/win_security_susp_lsass_dump_generic.yml
AccessMask,windows/builtin/security/win_security_susp_net_recon_activity.yml
AccessMask,windows/builtin/security/win_security_sysmon_channel_reference_deletion.yml
AccountName,windows/builtin/system/service_control_manager/win_system_service_install_pua_proceshacker.yml
Action,windows/builtin/firewall_as/win_firewall_as_add_rule.yml
Action,windows/builtin/firewall_as/win_firewall_as_add_rule_susp_folder.yml
Action,windows/builtin/firewall_as/win_firewall_as_add_rule_wmiprvse.yml
